SRI_Parish_Code,Parish_Description,INEC_Parish_Code
2040453,JUAN MONTALVO (SAN IGNACIO DE QUIL),040453
2040101,GONZALEZ SUAREZ,040101
2040102,TULCAN,040102
2040150,TULCAN,040150
2040151,EL CARMELO (EL PUN),040151
2040153,JULIO ANDRADE (OREJUELA),040153
2040154,MALDONADO,040154
2040155,PIOTER,040155
2040156,TOBAR DONOSO (LA BOCANA DE CAMUMBI),040156
2040157,TUFIÑO,040157
2040158,URBINA (TAYA),040158
2040159,EL CHICAL,040159
2040161,SANTA MARTHA DE CUBA,040161
2040250,BOLIVAR,040250
2040251,GARCIA MORENO,040251
2040252,LOS ANDES,040252
2040253,MONTE OLIVO,040253
2040254,SAN VICENTE DE PUSIR,040254
2040255,SAN RAFAEL,040255
2110750,GONZANAMA,110750
2110751,CHANGAIMINA (LA LIBERTAD),110751
2110753,NAMBACOLA,110753
2110754,PURUNUMA (EGUIGUREN),110754
2110756,SACAPALCA,110756
2110201,CARIAMANGA,110201
2110202,CHILE,110202
2110203,SAN VICENTE,110203
2110250,CARIAMANGA,110250
2110251,COLAISACA,110251
2110252,EL LUCERO,110252
2110253,UTUANA,110253
2110254,SANGUILLIN,110254
2110450,CELICA,110450
2110451,CRUZPAMBA (CAB. EN CARLOS BUSTAMANTE),110451
2110455,POZUL (SAN JUAN DE POZUL),110455
2110456,SABANILLA,110456
2110457,TENIENTE MAXIMILIANO RODRIGUEZ LOAIZA,110457
2110550,CHAGUARPAMBA,110550
2110551,BUENAVISTA,110551
2110552,EL ROSARIO,110552
2110553,SANTA RUFINA,110553
2110554,AMARILLOS,110554
2111250,SOZORANGA,111250
2111251,NUEVA FATIMA,111251
2111252,TACAMOROS,111252
2110901,CATACOCHA,110901
2110902,LOURDES,110902
2110950,CATACOCHA,110950
2110951,CANGONAMA,110951
2110952,GUACHANAMA,110952
2110954,LAURO GUERRERO,110954
2110956,ORIANGA,110956
2110957,SAN ANTONIO,110957
2110958,CASANGA,110958
2110959,YAMANA,110959
2111350,ZAPOTILLO,111350
2111352,GARZAREAL,111352
2111353,LIMONES,111353
2111354,PALETILLAS,111354
2111150,SARAGURO,111150
2111151,EL PARAISO DE CELEN,111151
2111152,EL TABLON,111152
2111153,LLUZHAPA,111153
2111154,MANU,111154
2111155,SAN ANTONIO DE QUIMBE (CUMBE),111155
2111156,SAN PABLO DE TENTA,111156
2111157,SAN SEBASTIAN DE YULUC,111157
2111158,SELVA ALEGRE,111158
2111159,URDANETA (PAQUISHAPA),111159
2111050,ALAMOR,111050
2111051,CIANO,111051
2111052,EL ARENAL,111052
2111053,EL LIMO (MARIANA DE JESUS),111053
2111054,MERCADILLO,111054
2111055,VICENTINO,111055
2110801,GENERAL ELOY ALFARO (SAN SEBASTIAN),110801
2110802,MACARA (MANUEL ENRIQUE RANGEL SUQUILANDA),110802
2110850,MACARA,110850
2110851,LARAMA,110851
2110852,LA VICTORIA,110852
2110853,SABIANGO (LA CAPILLA),110853
2111450,PINDAL,111450
2111451,CHAQUINAL,111451
2111452,12 DE DICIEMBRE (CAB. EN ACHIOTES),111452
2110301,CATAMAYO,110301
2110302,SAN JOSE,110302
2110350,CATAMAYO (LA TOMA),110350
2110351,EL TAMBO,110351
2110352,GUAYQUICHUMA,110352
2110353,SAN PEDRO DE LA BENDITA,110353
2110354,ZAMBI,110354
2110101,EL SAGRARIO,110101
2110102,SAN SEBASTIAN,110102
2110103,SUCRE,110103
2110104,VALLE,110104
2110150,LOJA,110150
2110151,CHANTACO,110151
2110152,CHUQUIRIBAMBA,110152
2110153,EL CISNE,110153
2110154,GUALEL,110154
2110155,JIMBILLA,110155
2110156,MALACATOS (VALLADOLID),110156
2110157,SAN LUCAS,110157
2110158,SAN PEDRO DE VILCABAMBA,110158
2110159,SANTIAGO,110159
2110160,TAQUIL (MIGUEL RIOFRIO),110160
2110161,VILCABAMBA (VICTORIA),110161
2110162,YANGANA (ARSENIO CASTILLO),110162
2110163,QUINARA,110163
2110650,AMALUZA,110650
2110651,BELLAVISTA,110651
2110652,JIMBURA,110652
2110653,SANTA TERESITA,110653
2230201,LA CONCORDIA,230201
2230202,MONTERREY,230202
2230203,LA VILLEGAS,230203
2230204,PLAN PILOTO,230204
2111356,CAZADEROS,111356
1090608,VICENTE PIEDRAHITA,090608
1090151,CHONGON,090151
1071203,BALNEARIO JAMBELI (SATELITE),071203
1071204,JUMON (SATELITE),071204
1071401,LA VICTORIA,071401
1071402,PLATANILLOS,071402
1071403,VALLE HERMOSO,071403
1090601,DAULE,090601
1090602,LA AURORA (SATÉLITE),090602
1090603,BANIFE,090603
1090604,EMILIANO CAICEDO MARCOS,090604
1090605,MAGRO,090605
1090606,PADRE JUAN BAUTISTA AGUIRRE,090606
1090607,SANTA CLARA,090607
1091601,SAMBORONDON,091601
1091602,LA PUNTILLA (SATELITE),091602
1130107,FRANCISCO PACHECO,130107
1130108,18 DE OCTUBRE,130108
1130109,SIMON BOLIVAR,130109
1121001,SAN JACINTO DE BUENA FE,121001
1121002,7 DE AGOSTO,121002
1121003,11 DE OCTUBRE,121003
1121350,QUINSALOMA,121350
1080105,SIMON PLATA TORRES,080105
1080850,LA CONCORDIA,080850
1240250,LA LIBERTAD,240250
1240301,CARLOS ESPINOZA LARREA,240301
1240302,GRAL ALBERTO ENRIQUEZ GALLO,240302
1240303,VICENTE ROCAFUERTE,240303
1240304,SANTA ROSA,240304
1240350,SALINAS,240350
1240351,ANCONCITO,240351
1240352,JOSÉ LUIS TAMAYO (MUEY),240352
1240101,BALLENITA,240101
1240102,SANTA ELENA,240102
1240150,SANTA ELENA,240150
1240151,ATAHUALPA,240151
1240152,COLONCHE,240152
1240153,CHANDUY,240153
1240154,MANGLARALTO,240154
1240155,SIMON BOLIVAR (JULIO MORENO),240155
1240156,SAN JOSE DE ANCON,240156
3190259,SAN ANDRES,190259
3190951,BELLAVISTA,190951
3190952,NUEVO QUITO,190952
2100455,SAN JOSE DE QUICHINCHE,100455
2111355,BOLASPAMBA,111355
2111160,SUMAYPAMBA,111160
2180701,PELILEO,180701
2180702,PELILEO GRANDE,180702
2020702,LAS NAVES,020702
2010455,LA PAZ,010455
2010360,SIMON BOLIVAR (CAB. EN GAÑANZOL),010360
2230101,ABRAHAM CALAZACON,230101
2230102,BOMBOLI,230102
2230103,CHIGUILPE,230103
2230104,RIO TOACHI,230104
2230150,SANTO DOMINGO DE LOS COLORADOS,230150
2230151,ALLURIQUIN,230151
2230152,PUERTO LIMON,230152
2230153,LUZ DE AMERICA,230153
2230154,SAN JACINTO DEL BUA,230154
2230155,VALLE HERMOSO,230155
2230156,EL ESFUERZO,230156
2230157,SANTA MARIA DEL TOACHI,230157
3140151,ALSHI (CAB. EN 9 DE OCTUBRE),140151
3140951,HUASAGA (CAB. EN WAMPUIK),140951
3210160,10 DE AGOSTO,210160
3150158,SAN JUAN DE MUYUNA,150158
3140954,PUMPUENTSA,140954
1071205,NUEVO SANTA ROSA,071205
1090702,EL RECREO,090702
1130904,GENERAL ELOY ALFARO,130904
2050203,EL TRIUNFO,050203
2010854,"SAN SALVADOR DE CAÑARIBAMBA
",010854
2230253,PLAN PILOTO,230253
2230250,LA CONCORDIA,230250
2230251,MONTERREY,230251
2230252,LA VILLEGAS,230252
3210355,SANSAHUARI,210355
2170129,SAN ISIDRO DEL INCA,170129
3190854,LA CANELA,190854
3150356,HATUN SUMAKU,150356
1091004,CORONEL ENRIQUE VALDEZ,091004
1091006,JOSE MARIA VELASCO IBARRA,091006
1091003,CHIRIJOS,091003
1091005,ROSA MARIA,091005
2110106,PUNZARA,110106
1091001,CAMILO ANDRADE,091001
1091008,ERNESTO SEMINARIO,091008
2170504,FAJARDO,170504
3190353,NANKAIS,190353
1090703,DIVINO NIÑO,090703
3210653,NUEVA TRONCAL,210653
1091009,LAS PIÑAS,091009
1070256,LA CUCA,070256
1091007,VICENTE ROCAFUERTE,091007
1091002,ELOY ALFARO,091002
2110105,CARIGAN,110105
2110655,EL INGENIO,110655
2110656,EL AIRO,110656
2111550,QUILANGA,111550
2111551,FUNDOCHAMBA,111551
2111552,SAN ANTONIO DE LAS ARADAS (CAB. EN LAS ARADAS),111552
2111650,OLMEDO,111650
2111651,LA TINGUE,111651
2170750,SAN MIGUEL DE LOS BANCOS,170750
2170751,MINDO,170751
2170450,TABACUNDO,170450
2170451,LA ESPERANZA,170451
2170452,MALCHINGUI,170452
2170453,TOCACHI,170453
2170454,TUPIGACHI,170454
2170850,PEDRO VICENTE MALDONADO,170850
2170201,AYORA,170201
2170202,CAYAMBE,170202
2170203,JUAN MONTALVO,170203
2170250,CAYAMBE,170250
2170251,ASCAZUBI,170251
2170252,CANGAHUA,170252
2170253,OLMEDO (PESILLO),170253
2170254,OTON,170254
2170255,SANTA ROSA DE CUZUBAMBA,170255
2170950,PUERTO QUITO,170950
2170601,ABRAHAM CALAZACON,170601
2170602,BOMBOLI,170602
2170603,CHINGUILPE,170603
2170604,RIO TOACHI,170604
2170605,RIO VERDE,170605
2170606,SANTO DOMINGO DE LOS COLORADOS,170606
2170607,ZARACAY,170607
2170650,SANTO DOMINGO DE LOS COLORADOS,170650
2170651,ALLURIQUIN,170651
2170652,PUERTO LIMON,170652
2170653,LUZ DE AMERICA,170653
2170654,SAN JACINTO DEL BUA,170654
2170655,VALLE HERMOSO,170655
2170656,EL ESFUERZO,170656
2170657,SANTA MARIA DEL TOACHI,170657
2170101,BELISARIO QUEVEDO,170101
2170102,CARCELÉN,170102
2170103,CENTRO HISTÓRICO,170103
2170104,COCHAPAMBA,170104
2170105,COMITÉ DEL PUEBLO,170105
2170106,COTOCOLLAO,170106
2170107,CHILIBULO,170107
2170108,CHILLOGALLO,170108
2170109,CHIMBACALLE,170109
2170110,EL CONDADO,170110
2170111,GUAMANÍ,170111
2170112,IÑAQUITO,170112
2170113,ITCHIMBIA,170113
2170114,JIPIJAPA,170114
2170115,KENNEDY,170115
2170116,LA ARGELIA,170116
2170117,LA CONCEPCIÓN,170117
2170118,LA ECUATORIANA,170118
2170119,LA FERROVIARIA,170119
2170120,LA LIBERTAD,170120
2170121,LA MAGDALENA,170121
2170122,LA MENA,170122
2170123,MARISCAL SUCRE,170123
2170124,PONCEANO,170124
2170125,PUENGASÍ,170125
2170126,QUITUMBE,170126
2170127,RUMIPAMBA,170127
2170128,SAN BARTOLO,170128
2170135,ATAHUALPA (HABASPAMBA),170135
2170150,QUITO DISTRITO METROPOLITANO,170150
2170151,ALANGASI,170151
2170152,AMAGUAÑA,170152
2170154,CALACALI,170154
2170155,CALDERON (CARAPUNGO),170155
2170156,CONOCOTO,170156
2170157,CUMBAYA,170157
2170158,CHAVEZPAMBA,170158
2170159,CHECA (CHILPA),170159
2170160,EL QUINCHE,170160
2170161,GUALEA,170161
2170162,GUANGOPOLO,170162
2170163,GUAYLLABAMBA,170163
2170164,LA MERCED,170164
2170165,LLANO CHICO,170165
2170166,LLOA,170166
2170168,NANEGAL,170168
2170169,NANEGALITO,170169
2170170,NAYON,170170
2170171,NONO,170171
2170172,PACTO,170172
2170174,PERUCHO,170174
2170175,PIFO,170175
2170176,PINTAG,170176
2170177,POMASQUI,170177
2170178,PUELLARO,170178
2170179,PUEMBO,170179
2170180,SAN ANTONIO,170180
2170181,SAN JOSE DE MINAS,170181
2170183,TABABELA,170183
2170184,TUMBACO,170184
2170185,YARUQUI,170185
2170186,ZAMBIZA,170186
2170350,MACHACHI,170350
2170351,ALOAG,170351
2170352,ALOASI,170352
2170353,CUTUGLAHUA,170353
2170354,EL CHAUPI,170354
2170355,MANUEL CORNEJO ASTORGA (TANDAPI),170355
2170356,TAMBILLO,170356
2170357,UYUMBICHO,170357
2170501,SANGOLQUI,170501
2170502,SAN PEDRO DE TABOADA,170502
2170503,SAN RAFAEL,170503
2170550,SANGOLQUI,170550
2170551,COTOGCHOA,170551
2170552,RUMIPAMBA,170552
2030350,CAÑAR,030350
2030351,CHONTAMARCA,030351
2030352,CHOROCOPTE,030352
2030353,GENERAL MORALES (SOCARTE),030353
2030354,GUALLETURO,030354
2030355,HONORATO VASQUEZ (TAMBO VIEJO),030355
2030356,INGAPIRCA,030356
2030357,JUNCAL,030357
2030358,SAN ANTONIO,030358
2030361,ZHUD,030361
2030362,VENTURA,030362
2030363,DUCUR,030363
2030450,LA TRONCAL,030450
2030451,MANUEL J. CALLE,030451
2030452,PANCHO NEGRO,030452
2030550,EL TAMBO,030550
2030101,AURELIO BAYAS MARTINEZ,030101
2030102,AZOGUES,030102
2030103,BORRERO,030103
2030104,SAN FRANCISCO,030104
2030150,AZOGUES,030150
2030151,COJITAMBO,030151
2030153,GUAPAN,030153
2030154,JAVIER LOYOLA (CHUQUIPATA),030154
2030155,LUIS CORDERO,030155
2030156,PINDILIG,030156
2030157,RIVERA,030157
2030158,SAN MIGUEL,030158
2030160,TADAY,030160
2030250,BIBLIAN,030250
2030251,NAZON (CAB. EN PAMPA DE DOMINGUEZ),030251
2030252,SAN FRANCISCO DE SAGEO,030252
2030253,TURUPAMBA,030253
2030254,JERUSALEN,030254
2030750,SUSCAL,030750
2030650,DELEG,030650
2030651,SOLANO,030651
2180650,QUERO,180650
2180651,RUMIPAMBA,180651
2180250,BAÑOS DE AGUA SANTA,180250
2180251,LLIGUA,180251
2180252,RIO NEGRO,180252
2180253,RIO VERDE,180253
2180254,ULBA,180254
2180101,ATOCHA - FICOA,180101
2180102,CELIANO MONGE,180102
2180103,HUACHI CHICO,180103
2180104,HUACHI LORETO,180104
2180105,LA MERCED,180105
2180106,LA PENINSULA,180106
2180107,MATRIZ,180107
2180108,PISHILATA,180108
2180109,SAN FRANCISCO,180109
2180150,AMBATO,180150
2180151,AMBATILLO,180151
2180152,ATAHUALPA (CHISALATA),180152
2180153,AUGUSTO N. MARTINEZ (MUNDUGLEO),180153
2180154,CONSTANTINO FERNÁNDEZ (CAB. EN CULLITAHUA),180154
2180155,HUACHI GRANDE,180155
2180156,IZAMBA,180156
2180157,JUAN BENIGNO VELA,180157
2180158,MONTALVO,180158
2180159,PASA,180159
2180160,PICAIGUA,180160
2180161,PILAGUIN (PILAHUIN),180161
2180162,QUISAPINCHA (QUIZAPINCHA),180162
2180163,SAN BARTOLOME DE PINLLOG,180163
2180164,SAN FERNANDO (PASA SAN FERNANDO),180164
2180165,SANTA ROSA,180165
2180166,TOTORAS,180166
2180167,CUNCHIBAMBA,180167
2180168,UNAMUNCHO,180168
2180450,MOCHA,180450
2180451,PINGUILI,180451
2180350,CEVALLOS,180350
2180750,PELILEO,180750
2180751,BENITEZ (PACHANLICA),180751
2180752,BOLIVAR,180752
2180753,COTALO,180753
2180754,CHIQUICHA (CAB. EN CHIQUICHA GRANDE),180754
2180755,EL ROSARIO (RUMICHACA),180755
2180756,GARCIA MORENO (CHUMAQUI),180756
2180757,GUAMBALO (HUAMBALO),180757
2180758,SALASACA,180758
2180950,TISALEO,180950
2180951,QUINCHICOTO,180951
2180550,PATATE,180550
2180551,EL TRIUNFO,180551
2180552,LOS ANDES (CAB. EN POATUG),180552
2180553,SUCRE (CAB. EN SUCRE-PATATE URCU),180553
2180801,CIUDAD NUEVA,180801
2180802,PILLARO,180802
2180850,PILLARO,180850
2180851,BAQUERIZO MORENO,180851
2180852,EMILIO MARIA TERAN (RUMIPAMBA),180852
2180853,MARCOS ESPINEL (CHACATA),180853
2180854,PRESIDENTE URBINA (CHAGRAPAMBA-PATZUCUL),180854
2180855,SAN ANDRES,180855
2180856,SAN JOSE DE POALO,180856
2180857,SAN MIGUELITO,180857
2020550,SAN MIGUEL,020550
2020551,BALSAPAMBA,020551
2020552,BILOVAN,020552
2020553,REGULO DE MORA,020553
2020554,SAN PABLO (SAN PABLO DE ATENAS),020554
2020555,SANTIAGO,020555
2020556,SAN VICENTE,020556
2020350,SAN JOSE DE CHIMBO,020350
2020351,ASUNCION (ASANCOTO),020351
2020353,MAGDALENA (CHAPACOTO),020353
2020354,SAN SEBASTIAN,020354
2020355,TELIMBELA,020355
2020701,LAS MERCEDES,020701
2020750,LAS NAVES,020750
2020450,ECHEANDIA,020450
2020250,CHILLANES,020250
2020251,SAN JOSE DEL TAMBO (TAMBOPAMBA),020251
2020650,CALUMA,020650
2020101,ANGEL POLIBIO CHAVEZ,020101
2020102,GABRIEL IGNACIO VEINTIMILLA,020102
2020103,GUANUJO,020103
2020150,GUARANDA,020150
2020151,FACUNDO VELA,020151
2020153,JULIO E. MORENO (CATAHUAN GRANDE),020153
2020155,SALINAS,020155
2020156,SAN LORENZO,020156
2020157,SAN SIMON (YACOTO),020157
2020158,SANTAFE (SANTA FE),020158
2020159,SIMIATUG,020159
2020160,SAN LUIS DE PAMBIL,020160
2011550,CAMILO PONCE ENRIQUEZ,011550
2011551,EL CARMEN DE PIJILI,011551
2011150,CHORDELEG,011150
2011151,PRINCIPAL,011151
2011152,LA UNION,011152
2011153,LUIS GALARZA ORELLANA (CAB.EN DELEGSOL),011153
2011154,SAN MARTIN DE PUZHIO,011154
2011450,GUACHAPALA,011450
2011050,SAN FELIPE DE OÑA,011050
2011051,SUSUDEL,011051
2010850,SANTA ISABEL (CHAGUARURCO),010850
2010851,ABDON CALDERON (LA UNION),010851
2010852,EL CARMEN DE PIJILI,010852
2010853,ZHAGLLI (SHAGLLI),010853
2011350,SEVILLA DE ORO,011350
2011351,AMALUZA,011351
2011352,PALMAS,011352
2010450,NABON,010450
2010451,COCHAPATA,010451
2010452,EL PROGRESO (CAB. EN ZHOTA),010452
2010453,LAS NIEVES (CHAYA),010453
2010750,SAN FERNANDO,010750
2010751,CHUMBLIN,010751
2010650,PUCARA,010650
2010652,SAN RAFAEL DE SHARUG,010652
2010350,GUALACEO,010350
2010352,DANIEL CORDOVA TORAL (EL ORIENTE),010352
2010353,JADAN,010353
2010354,MARIANO MORENO,010354
2010356,REMIGIO CRESPO TORAL (GULAG),010356
2010357,SAN JUAN,010357
2010358,ZHIDMAD,010358
2010359,LUIS CORDERO VEGA,010359
2010550,PAUTE,010550
2010552,BULAN (JOSE VICTOR IZQUIERDO),010552
2010553,CHICAN (GUILLERMO ORTEGA),010553
2010554,EL CABO,010554
2010556,GUARAINAG,010556
2010559,SAN CRISTOBAL (CARLOS ORDOÑEZ LAZO),010559
2010561,TOMEBAMBA,010561
2010562,DUG-DUG,010562
2010950,SIGSIG,010950
2010951,CUCHIL (CUTCHIL),010951
2010952,GIMA,010952
2010953,GUEL,010953
2010954,LUDO,010954
2010955,SAN BARTOLOME,010955
2010956,SAN JOSE DE RARANGA,010956
2010250,GIRON,010250
2010251,ASUNCION,010251
2010252,SAN GERARDO,010252
2010101,BELLAVISTA,010101
2010102,CAÑARIBAMBA,010102
2010103,EL BATAN,010103
2010104,EL SAGRARIO,010104
2010105,EL VECINO,010105
2010106,GIL RAMIREZ DAVALOS,010106
2010107,HUAYNACAPAC,010107
2010108,MACHANGARA,010108
2010109,MONAY,010109
2010110,SAN BLAS,010110
2010111,SAN SEBASTIAN,010111
2010112,SUCRE,010112
2010113,TOTORACOCHA,010113
2010114,YANUNCAY,010114
2010115,HERMANO MIGUEL,010115
2010150,CUENCA,010150
2010151,BAÑOS,010151
2010152,CUMBE,010152
2010153,CHAUCHA,010153
2010154,CHECA (JIDCAY),010154
2010155,CHIQUINTAD,010155
2010156,LLACAO,010156
2010157,MOLLETURO,010157
2010158,NULTI,010158
2010159,OCTAVIO CORDERO PALACIOS (SANTA ROSA),010159
2010160,PACCHA,010160
2010161,QUINGEO,010161
2010162,RICAURTE,010162
2010163,SAN JOAQUIN,010163
2010164,SANTA ANA,010164
2010165,SAYAUSI,010165
2010166,SIDCAY,010166
2010167,SININCAY,010167
2010168,TARQUI,010168
2010169,TURI,010169
2010170,VALLE,010170
2010171,VICTORIA DEL PORTETE (IRQUIS),010171
2011250,EL PAN,011250
2011253,SAN VICENTE,011253
2230105,RIO VERDE,230105
2230106,SANTO DOMINGO DE LOS COLORADOS,230106
2230107,ZARACAY,230107
3190352,NUEVO PARAISO,190352
1130903,EL COLORADO,130903
1130905,LEONIDAS PROAÑO,130905
1080151,ATACAMES,080151
1121103,LA NUEVA UNION,121103
1120702,VENTANAS,120702
1130453,SANTA MARIA (CAB EN SANTA MARIA),130453
1120803,SAN LORENZO DE VINCES,120803
1120801,BALZAR DE VINCES,120801
1121102,LA UNION,121102
1121101,VALENCIA,121101
1130454,EL PARAISO LA 14 (CAB EN EL PARAISO),130454
1120802,VINCES CENTRAL,120802
1120701,10 DE NOVIEMBRE,120701
1120753,CHACARITA,120753
1120754,LOS ANGELES,120754
1080265,SANTA LUCIA DE LAS PEÑAS,080265
1080851,MONTERREY,080851
1080852,LA VILLEGAS,080852
1080853,PLAN PILOTO,080853
3190752,TRIUNFO-DORADO,190752
3190753,PAGUINTZA,190753
2111453,MILAGROS,111453
NO TIENE,,O TIENE
1091054,ROBERTO ASTUDILLO (CAB. EN CRUCE DE VENECIA),091054
1120153,FEBRES CORDERO (LAS JUNTAS) (CAB. EN MATA DE CACAO),120153
1080255,LUIS VARGAS TORRES (CAB. EN PLAYA DE ORO),080255
1080558,SAN JAVIER DE CACHAVI (CAB. EN SAN JAVIER),080558
2060956,BILBAO (CAB. EN QUILLUYACU),060956
2111351,MANGAHURCO,111351
2110654,27 DE ABRIL (CAB. EN LA NARANJA),110654
1120851,ANTONIO SOTOMAYOR (CAB. EN PLAYAS DE VINCES),120851
3220355,LAGO SAN PEDRO,220355
3220157,INÉS ARANGO (CAB. EN WESTERN),220157
2060354,SANTIAGO DE QUITO (CAB. EN SAN ANTONIO DE QUITO),060354
2180652,YANAYACU - MOCHAPATA (CAB. EN YANAYACU),180652
1120351,LA ESMERALDA,120351
2060155,LICÁN,060155
2170130,SAN JUAN,170130
2170131,SOLANDA,170131
1090701,ELOY ALFARO (DURÁN),090701
2170132,TURUBAMBA,170132
2170256,SAN JOSÉ DE AYORA,170256
2050201,EL CARMEN,050201
1070251,CHACRAS,070251
1130402,4 DE DICIEMBRE,130402
2170153,ATAHUALPA (HABASPAMBA),170153
